DATE         WEEKDAY      TYPE           COLOR
2025-12-04   thursday     buddha_eve     ส้ม
2025-12-05   friday       buddha_day     ฟ้า
2025-12-11   thursday     kone_eve       ส้ม
2025-12-12   friday       buddha_eve     ฟ้า
2025-12-13   saturday     buddha_day     ม่วง
2025-12-17   wednesday    kone_eve       เขียว
2025-12-18   thursday     buddha_eve     ส้ม
2025-12-19   friday       buddha_day     ฟ้า
2025-12-25   thursday     kone_eve       ส้ม
2025-12-26   friday       buddha_eve     ฟ้า
2025-12-27   saturday     buddha_day     ม่วง

Total: 148 notification days in 2025
